"2024-07-19,14:29:22",[   48] ,[  332] ,[  224] ,[  348] ,[  490] ,[  369] ,[  284] ,[  183] ,[  985] ,[   54] ,foto_142922_19072024.jpg
"2024-07-19,14:46:16",[   41] ,[  294] ,[  197] ,[  312] ,[  410] ,[  288] ,[  212] ,[  144] ,[  796] ,[   42] ,foto_144616_19072024.jpg
"2024-07-19,14:59:23",[   44] ,[  312] ,[  209] ,[  331] ,[  461] ,[  340] ,[  261] ,[  170] ,[  937] ,[   50] ,foto_145923_19072024.jpg
"2024-07-22,13:12:04",[   44] ,[  330] ,[  209] ,[  314] ,[  389] ,[  258] ,[  187] ,[  124] ,[  669] ,[   42] ,foto_131204_22072024.jpg
"2024-07-22,14:49:52",[   36] ,[  272] ,[  183] ,[  278] ,[  333] ,[  211] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_144952_22072024.jpg
"2024-07-22,14:55:15",[   43] ,[  300] ,[  207] ,[  329] ,[  444] ,[  325] ,[  246] ,[  166] ,[  862] ,[   46] ,foto_145515_22072024.jpg
"2024-07-22,15:00:53",[   40] ,[  287] ,[  194] ,[  300] ,[  407] ,[  289] ,[  222] ,[  145] ,[  810] ,[   43] ,foto_150053_22072024.jpg
"2024-07-22,15:02:07",[   39] ,[  285] ,[  193] ,[  298] ,[  380] ,[  259] ,[  194] ,[  131] ,[  768] ,[   40] ,foto_150207_22072024.jpg
"2024-07-22,15:42:48",[   38] ,[  278] ,[  187] ,[  289] ,[  355] ,[  234] ,[  171] ,[  119] ,[  717] ,[   37] ,foto_154247_22072024.jpg
"2024-07-22,15:46:51",[   38] ,[  280] ,[  188] ,[  291] ,[  357] ,[  236] ,[  172] ,[  120] ,[  721] ,[   37] ,foto_154651_22072024.jpg
"2024-07-22,16:01:23",[   39] ,[  284] ,[  192] ,[  296] ,[  365] ,[  244] ,[  178] ,[  124] ,[  737] ,[   38] ,foto_160123_22072024.jpg
"2024-07-22,16:03:00",[   45] ,[  317] ,[  213] ,[  332] ,[  443] ,[  322] ,[  243] ,[  158] ,[  887] ,[   47] ,foto_160300_22072024.jpg
"2024-07-22,17:09:44",[   41] ,[  305] ,[  203] ,[  313] ,[  402] ,[  279] ,[  205] ,[  139] ,[  799] ,[   41] ,foto_170944_22072024.jpg
"2024-07-23,10:35:20",[   55] ,[  371] ,[  251] ,[  397] ,[  554] ,[  431] ,[  336] ,[  213] ,[ 1088] *,[   61] ,foto_103520_23072024.jpg
"2024-07-23,12:55:30",[   40] ,[  295] ,[  196] ,[  300] ,[  369] ,[  245] ,[  178] ,[  123] ,[  736] ,[   38] ,foto_125530_23072024.jpg
"2024-07-23,12:58:22",[   39] ,[  294] ,[  196] ,[  299] ,[  368] ,[  244] ,[  178] ,[  123] ,[  734] ,[   38] ,foto_125822_23072024.jpg
"2024-07-23,12:59:37",[   39] ,[  294] ,[  195] ,[  299] ,[  368] ,[  244] ,[  178] ,[  122] ,[  734] ,[   38] ,foto_125937_23072024.jpg
"2024-07-23,13:02:00",[   39] ,[  294] ,[  196] ,[  299] ,[  368] ,[  244] ,[  178] ,[  122] ,[  734] ,[   38] ,foto_130200_23072024.jpg
"2024-07-23,13:02:47",[   39] ,[  293] ,[  195] ,[  298] ,[  367] ,[  244] ,[  178] ,[  122] ,[  732] ,[   38] ,foto_130247_23072024.jpg
"2024-07-23,13:04:12",[   39] ,[  294] ,[  195] ,[  299] ,[  367] ,[  244] ,[  178] ,[  122] ,[  733] ,[   38] ,foto_130412_23072024.jpg
"2024-07-23,13:05:39",[   39] ,[  294] ,[  196] ,[  299] ,[  367] ,[  244] ,[  178] ,[  123] ,[  733] ,[   38] ,foto_130539_23072024.jpg
"2024-07-23,13:06:41",[   39] ,[  294] ,[  195] ,[  299] ,[  367] ,[  244] ,[  178] ,[  122] ,[  732] ,[   38] ,foto_130641_23072024.jpg
"2024-07-23,13:08:19",[   39] ,[  293] ,[  195] ,[  297] ,[  366] ,[  243] ,[  177] ,[  122] ,[  730] ,[   38] ,foto_130819_23072024.jpg
"2024-07-23,14:37:55",[   40] ,[  295] ,[  196] ,[  301] ,[  369] ,[  245] ,[  178] ,[  123] ,[  735] ,[   38] ,foto_143755_23072024.jpg
"2024-07-23,14:39:23",[   39] ,[  294] ,[  196] ,[  300] ,[  369] ,[  245] ,[  178] ,[  123] ,[  735] ,[   38] ,foto_143923_23072024.jpg
"2024-07-23,14:40:47",[   40] ,[  294] ,[  196] ,[  300] ,[  369] ,[  245] ,[  178] ,[  123] ,[  734] ,[   38] ,foto_144047_23072024.jpg
"2024-07-23,15:42:32",[   39] ,[  291] ,[  195] ,[  296] ,[  364] ,[  242] ,[  176] ,[  121] ,[  727] ,[   38] ,foto_154232_23072024.jpg
"2024-07-23,16:15:14",[   39] ,[  294] ,[  196] ,[  298] ,[  366] ,[  243] ,[  177] ,[  122] ,[  732] ,[   38] ,foto_161514_23072024.jpg
"2024-07-24,11:21:12",[   39] ,[  291] ,[  193] ,[  297] ,[  362] ,[  238] ,[  172] ,[  119] ,[  721] ,[   37] ,foto_112112_24072024.jpg
"2024-07-24,11:24:00",[   39] ,[  291] ,[  193] ,[  297] ,[  362] ,[  238] ,[  173] ,[  119] ,[  723] ,[   38] ,foto_112400_24072024.jpg
"2024-07-24,11:56:23",[   38] ,[  287] ,[  191] ,[  291] ,[  351] ,[  228] ,[  164] ,[  115] ,[  702] ,[   37] ,foto_115623_24072024.jpg
"2024-07-24,12:05:23",[   38] ,[  287] ,[  191] ,[  291] ,[  352] ,[  228] ,[  165] ,[  115] ,[  702] ,[   37] ,foto_120523_24072024.jpg
"2024-07-24,12:06:56",[   38] ,[  287] ,[  191] ,[  291] ,[  351] ,[  228] ,[  164] ,[  115] ,[  702] ,[   37] ,foto_120656_24072024.jpg
"2024-07-24,12:08:21",[   38] ,[  287] ,[  192] ,[  290] ,[  351] ,[  227] ,[  164] ,[  115] ,[  702] ,[   37] ,foto_120821_24072024.jpg
"2024-07-24,12:10:37",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  228] ,[  165] ,[  115] ,[  703] ,[   37] ,foto_121037_24072024.jpg
"2024-07-24,12:16:19",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  228] ,[  165] ,[  115] ,[  703] ,[   37] ,foto_121619_24072024.jpg
"2024-07-24,12:17:27",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  227] ,[  164] ,[  115] ,[  702] ,[   37] ,foto_121727_24072024.jpg
"2024-07-24,12:25:37",[   38] ,[  288] ,[  192] ,[  291] ,[  352] ,[  228] ,[  165] ,[  116] ,[  704] ,[   37] ,foto_122537_24072024.jpg
"2024-07-24,12:27:51",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  227] ,[  164] ,[  116] ,[  703] ,[   37] ,foto_122751_24072024.jpg
"2024-07-24,14:07:46",[   43] ,[  320] ,[  204] ,[  310] ,[  381] ,[  251] ,[  182] ,[  120] ,[  668] ,[   43] ,foto_140746_24072024.jpg
"2024-07-24,14:26:31",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  207] ,[  149] ,[  107] ,[  668] ,[   34] ,foto_142631_24072024.jpg
"2024-07-24,14:44:37",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  667] ,[   34] ,foto_144437_24072024.jpg
"2024-07-24,14:45:50",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  666] ,[   34] ,foto_144550_24072024.jpg
"2024-07-24,14:46:40",[   36] ,[  267] ,[  180] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  665] ,[   34] ,foto_144640_24072024.jpg
"2024-07-24,15:30:08",[   36] ,[  267] ,[  180] ,[  274] ,[  326] ,[  206] ,[  148] ,[  107] ,[  665] ,[   34] ,foto_153008_24072024.jpg
"2024-07-24,15:34:06",[   53] ,[  352] ,[  242] ,[  391] ,[  553] ,[  436] ,[  341] ,[  227] ,[ 1069] *,[   59] ,foto_153406_24072024.jpg
"2024-07-24,16:25:11",[   53] ,[  354] ,[  243] ,[  393] ,[  557] ,[  440] ,[  344] ,[  228] ,[ 1078] *,[   59] ,foto_162511_24072024.jpg
"2024-07-24,16:48:46",[   53] ,[  356] ,[  244] ,[  395] ,[  560] ,[  442] ,[  346] ,[  230] ,[ 1084] *,[   59] ,foto_164846_24072024.jpg
"2024-07-24,16:51:51",[   36] ,[  270] ,[  182] ,[  278] ,[  332] ,[  211] ,[  152] ,[  109] ,[  680] ,[   35] ,foto_165151_24072024.jpg
"2024-07-24,17:01:23",[   36] ,[  268] ,[  181] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_170123_24072024.jpg
"2024-07-24,17:05:43",[   36] ,[  268] ,[  181] ,[  276] ,[  331] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_170543_24072024.jpg
"2024-07-24,17:06:31",[   36] ,[  268] ,[  181] ,[  276] ,[  330] ,[  209] ,[  151] ,[  108] ,[  674] ,[   35] ,foto_170631_24072024.jpg
"2024-07-24,17:08:12",[   36] ,[  268] ,[  181] ,[  276] ,[  331] ,[  210] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_170812_24072024.jpg
"2024-07-24,17:11:02",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_171102_24072024.jpg
"2024-07-24,17:15:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  210] ,[  151] ,[  109] ,[  674] ,[   35] ,foto_171559_24072024.jpg
"2024-07-24,17:16:50",[   36] ,[  268] ,[  181] ,[  276] ,[  330] ,[  210] ,[  151] ,[  109] ,[  674] ,[   35] ,foto_171650_24072024.jpg
"2024-07-24,17:17:46",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_171746_24072024.jpg
"2024-07-24,17:20:29",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_172029_24072024.jpg
"2024-07-24,17:21:31",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_172131_24072024.jpg
"2024-07-24,17:26:04",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_172604_24072024.jpg
"2024-07-24,17:28:38",[   36] ,[  270] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  679] ,[   35] ,foto_172838_24072024.jpg
"2024-07-24,17:29:51",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_172951_24072024.jpg
"2024-07-24,17:38:10",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_173810_24072024.jpg
"2024-07-25,14:22:06",[   36] ,[  267] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_142206_25072024.jpg
"2024-07-25,14:25:58",[   36] ,[  267] ,[  181] ,[  275] ,[  329] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_142558_25072024.jpg
"2024-07-25,14:29:33",[   36] ,[  268] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_142933_25072024.jpg
"2024-07-25,14:31:12",[   36] ,[  267] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_143112_25072024.jpg
"2024-07-25,14:46:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  209] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_144659_25072024.jpg
"2024-07-25,14:46:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_144659_25072024.jpg
"2024-07-25,14:51:56",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_145156_25072024.jpg
"2024-07-25,14:51:56",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_145156_25072024.jpg
"2024-07-25,14:57:46",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_145746_25072024.jpg
"2024-07-25,14:57:46",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_145746_25072024.jpg
"2024-07-25,15:01:02",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150102_25072024.jpg
"2024-07-25,15:01:02",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150102_25072024.jpg
"2024-07-25,15:04:00",[   36] ,[  268] ,[  181] ,[  275] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150400_25072024.jpg
"2024-07-25,15:04:00",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150400_25072024.jpg
"2024-07-25,15:05:09",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150509_25072024.jpg
"2024-07-25,15:05:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_150509_25072024.jpg
"2024-07-25,15:07:48",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150748_25072024.jpg
"2024-07-25,15:07:49",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150749_25072024.jpg
"2024-07-25,15:10:05",[   36] ,[  268] ,[  182] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_151005_25072024.jpg
"2024-07-25,15:10:06",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_151006_25072024.jpg
"2024-07-25,15:12:08",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_151208_25072024.jpg
"2024-07-25,15:12:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_151209_25072024.jpg
"2024-07-25,15:13:08",[   36] ,[  266] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151308_25072024.jpg
"2024-07-25,15:13:08",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151308_25072024.jpg
"2024-07-25,15:14:49",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151449_25072024.jpg
"2024-07-25,15:14:50",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_151450_25072024.jpg
"2024-07-25,15:18:09",[   36] ,[  268] ,[  182] ,[  276] ,[  328] ,[  209] ,[  152] ,[  110] ,[  674] ,[   35] ,foto_151809_25072024.jpg
"2024-07-25,15:18:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_151809_25072024.jpg
"2024-07-25,15:25:06",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_152506_25072024.jpg
"2024-07-25,15:25:06",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_152506_25072024.jpg
"2024-07-25,15:29:02",[   36] ,[  265] ,[  180] ,[  273] ,[  326] ,[  207] ,[  151] ,[  109] ,[  669] ,[   34] ,foto_152902_25072024.jpg
"2024-07-25,15:29:03",[   36] ,[  266] ,[  180] ,[  273] ,[  326] ,[  207] ,[  150] ,[  109] ,[  669] ,[   34] ,foto_152903_25072024.jpg
"2024-07-25,15:35:49",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_153549_25072024.jpg
"2024-07-25,15:35:49",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_153549_25072024.jpg
"2024-07-25,15:40:14",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  110] ,[  675] ,[   35] ,foto_154014_25072024.jpg
"2024-07-25,15:43:37",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_154337_25072024.jpg
"2024-07-25,15:46:12",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_154612_25072024.jpg
"2024-07-25,15:49:55",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  675] ,[   35] ,foto_154955_25072024.jpg
"2024-07-25,15:51:49",[   36] ,[  268] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_155149_25072024.jpg
"2024-07-25,15:53:07",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_155307_25072024.jpg
"2024-07-25,15:54:31",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_155431_25072024.jpg
"2024-07-25,15:55:39",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_155539_25072024.jpg
"2024-07-25,15:58:10",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_155810_25072024.jpg
"2024-07-25,15:59:03",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_155903_25072024.jpg
"2024-07-25,16:01:59",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160159_25072024.jpg
"2024-07-25,16:04:20",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_160420_25072024.jpg
"2024-07-25,16:05:29",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160529_25072024.jpg
"2024-07-25,16:07:25",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160725_25072024.jpg
"2024-07-25,16:08:50",[   36] ,[  266] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_160850_25072024.jpg
"2024-07-25,16:26:41",[   66] ,[  415] ,[  289] ,[  457] ,[  740] ,[  638] ,[  512] ,[  321] ,[ 1369] *,[   84] ,foto_162641_25072024.jpg
"2024-07-29,12:50:53",[    8] ,[   14] ,[   15] ,[   18] ,[   39] ,[   40] ,[   27] ,[   14] ,[  160] ,[  103] ,foto_125053_29072024.jpg
"2024-07-29,12:51:23",[    8] ,[   14] ,[   15] ,[   18] ,[   39] ,[   40] ,[   27] ,[   14] ,[  161] ,[  104] ,foto_125123_29072024.jpg
"2024-07-29,12:53:56",[    0] ,[    1] ,[    1] ,[    2] ,[    3] ,[    3] ,[    2] ,[    2] ,[    5] ,[    2] ,foto_125356_29072024.jpg
"2024-07-29,12:54:32",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    3] ,[    2] ,[    2] ,[    5] ,[    2] ,foto_125432_29072024.jpg
"2024-07-29,14:21:09",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    4] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_142109_29072024.jpg
"2024-07-29,14:25:51",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    3] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_142551_29072024.jpg
"2024-07-29,14:26:47",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    4] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_142647_29072024.jpg
"2024-07-29,14:37:25",[    0] ,[    1] ,[    1] ,[    1] ,[    3] ,[    4] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_143725_29072024.jpg
"2024-07-29,14:47:19",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    3] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_144719_29072024.jpg
"2024-07-29,14:47:52",[    0] ,[    1] ,[    1] ,[    1] ,[    2] ,[    3] ,[    2] ,[    2] ,[    4] ,[    1] ,foto_144752_29072024.jpg
