"2024-07-23,13:08:27","[   39] ,[  293] ,[  195] ,[  297] ,[  366] ,[  243] ,[  177] ,[  122] ,[  730] ,[   38] ",foto_130819_23072024.jpg,empty,poroto,poroto
"2024-07-23,14:40:47","[   40],[  294],[  196],[  300],[  369],[  245],[  178],[  123],[  734],[   38]",foto_144047_23072024.jpg,empty,poroto,poroto
"2024-07-23,15:42:32","[   39],[  291],[  195],[  296],[  364],[  242],[  176],[  121],[  727],[   38]",foto_154232_23072024.jpg,empty,poroto,poroto
"2024-07-23,16:15:14","[   39],[  294],[  196],[  298],[  366],[  243],[  177],[  122],[  732],[   38]",foto_161514_23072024.jpg,empty,poroto,poroto
"2024-07-24,11:21:12","[   39],[  291],[  193],[  297],[  362],[  238],[  172],[  119],[  721],[   37]",foto_112112_24072024.jpg,empty,poroto,poroto
"2024-07-24,11:24:00","[   39],[  291],[  193],[  297],[  362],[  238],[  173],[  119],[  723],[   38]",foto_112400_24072024.jpg,empty,poroto,poroto
"2024-07-24,12:10:37","[   38],[  288],[  192],[  291],[  351],[  228],[  165],[  115],[  703],[   37]",foto_121037_24072024.jpg,empty,poroto,poroto
"2024-07-24,12:27:51","[   38],[  288],[  192],[  291],[  351],[  227],[  164],[  116],[  703],[   37]",foto_122751_24072024.jpg,empty,poroto,poroto
"2024-07-24,14:07:46","[   43],[  320],[  204],[  310],[  381],[  251],[  182],[  120],[  668],[   43]",foto_140746_24072024.jpg,empty,poroto,empty
"2024-07-24,14:46:40","[   36],[  267],[  180],[  275],[  327],[  206],[  148],[  107],[  665],[   34]",foto_144640_24072024.jpg,empty,empty,poroto
"2024-07-24,15:34:06","[   53],[  352],[  242],[  391],[  553],[  436],[  341],[  227],[ 1069] *,[   59]",foto_153406_24072024.jpg,poroto,poroto,poroto
"2024-07-24,16:25:11","[   53],[  354],[  243],[  393],[  557],[  440],[  344],[  228],[ 1078] *,[   59]",foto_162511_24072024.jpg,poroto,poroto,poroto
"2024-07-24,17:28:38","[   36],[  270],[  182],[  277],[  332],[  211],[  152],[  109],[  679],[   35]",foto_172838_24072024.jpg,empty,empty,poroto
"2024-07-24,17:38:10","[   36],[  269],[  182],[  277],[  332],[  211],[  152],[  109],[  678],[   35]",foto_173810_24072024.jpg,empty,empty,poroto
"2024-07-25,14:25:58","[   36],[  267],[  181],[  275],[  329],[  209],[  152],[  109],[  674],[   35]",foto_142558_25072024.jpg,empty,poroto,poroto
"2024-07-25,14:31:12","[   36],[  267],[  181],[  276],[  329],[  209],[  152],[  109],[  675],[   35]",foto_143112_25072024.jpg,empty,poroto,poroto
"2024-07-25,14:46:59","[   36],[  268],[  182],[  276],[  330],[  209],[  152],[  110],[  676],[   35]",foto_144659_25072024.jpg,empty,poroto,poroto
"2024-07-25,14:57:46","[   36],[  268],[  182],[  276],[  329],[  209],[  152],[  110],[  676],[   35]",foto_145746_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:01:02","[   36],[  268],[  182],[  275],[  328],[  209],[  152],[  109],[  675],[   35]",foto_150102_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:04:00","[   36],[  268],[  182],[  276],[  329],[  209],[  152],[  109],[  675],[   35]",foto_150400_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:05:09","[   36],[  268],[  182],[  275],[  328],[  208],[  151],[  109],[  673],[   35]",foto_150509_25072024.jpg,empty,empty,poroto
"2024-07-25,15:07:49","[   36],[  268],[  182],[  275],[  328],[  209],[  152],[  109],[  674],[   35]",foto_150749_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:10:06","[   36],[  268],[  182],[  275],[  328],[  209],[  152],[  109],[  674],[   35]",foto_151006_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:12:09","[   36],[  268],[  182],[  275],[  328],[  208],[  152],[  109],[  673],[   35]",foto_151209_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:13:08","[   36],[  267],[  181],[  274],[  327],[  208],[  151],[  109],[  672],[   35]",foto_151308_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:14:50","[   36],[  267],[  181],[  275],[  327],[  208],[  151],[  109],[  672],[   34]",foto_151450_25072024.jpg,empty,empty,poroto
"2024-07-25,15:18:09","[   36],[  268],[  182],[  275],[  328],[  209],[  152],[  109],[  674],[   35]",foto_151809_25072024.jpg,empty,poroto,poroto
"2024-07-25,15:25:06","[   36],[  267],[  181],[  274],[  327],[  208],[  151],[  109],[  673],[   35]",foto_152506_25072024.jpg,empty,empty,poroto
"2024-07-25,15:59:03","[   36],[  267],[  181],[  275],[  328],[  209],[  151],[  109],[  673],[   35]",foto_155903_25072024.jpg,empty,empty,poroto
"2024-07-25,16:01:59","[   36],[  267],[  181],[  275],[  328],[  209],[  152],[  109],[  674],[   35]",foto_160159_25072024.jpg,empty,poroto,poroto
"2024-07-25,16:04:20","[   36],[  267],[  181],[  275],[  328],[  208],[  152],[  109],[  673],[   35]",foto_160420_25072024.jpg,empty,poroto,poroto
"2024-07-25,16:05:29","[   36],[  267],[  181],[  275],[  328],[  209],[  152],[  109],[  674],[   35]",foto_160529_25072024.jpg,empty,poroto,poroto
"2024-07-25,16:07:25","[   36],[  268],[  181],[  276],[  328],[  209],[  152],[  109],[  674],[   35]",foto_160725_25072024.jpg,empty,poroto,poroto
"2024-07-25,16:08:50","[   36],[  266],[  181],[  274],[  327],[  208],[  151],[  109],[  672],[   35]",foto_160850_25072024.jpg,empty,poroto,poroto
"2024-07-25,16:26:41","[   66],[  415],[  289],[  457],[  740],[  638],[  512],[  321],[ 1369] *,[   84]",foto_162641_25072024.jpg,poroto,poroto,poroto
